Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/11/14,13:39,Uh-Oh,action,dontremember,0to3y,female
6/11/14,13:46,Bird,animaletc,14mOrLater,4to6y,female
6/11/14,12:32,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,13:51,Meow,action,10mOrBefore,0to3y,female
6/11/14,13:55,Wow,,11m,4to6y,female
6/11/14,13:58,Ball,animaletc,13m,0to3y,female
6/11/14,14:02,Asterix,animaletc,12m,0to3y,female
6/11/14,14:04,Apple,animaletc,10mOrBefore,7to12y,female
6/11/14,14:12,Ball,animaletc,11m,4to6y,female
6/11/14,14:13,Cat,animaletc,14mOrLater,0to3y,female
6/11/14,14:17,Hi,action,13m,0to3y,female
6/11/14,14:18,Water,animaletc,10mOrBefore,0to3y,female
6/11/14,14:19,Boobie,action,10mOrBefore,0to3y,female
6/11/14,14:25,Duck,animaletc,10mOrBefore,7to12y,female
6/11/14,14:28,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,14:36,Dada,person,10mOrBefore,0to3y,female
6/11/14,14:31,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,14:38,Okay,action,14mOrLater,4to6y,female
6/11/14,14:54,Ball,animaletc,12m,7to12y,female
6/11/14,15:03,Hi,other,10mOrBefore,7to12y,female
6/11/14,15:04,Hi,,12m,0to3y,female
6/11/14,15:03,Owl,animaletc,12m,0to3y,female
6/11/14,15:13,Hi,person,10mOrBefore,0to3y,female
6/11/14,14:51,Uh-Oh,action,11m,0to3y,female
6/11/14,15:14,Vroom ,action,11m,0to3y,female
6/11/14,15:17,Bye Bye,action,10mOrBefore,0to3y,female
6/11/14,15:12,Baby,person,10mOrBefore,4to6y,female
6/11/14,15:27,Ball,animaletc,dontremember,0to3y,female
6/11/14,15:40,Hi,other,10mOrBefore,0to3y,female
6/11/14,15:41,Light ,,dontremember,13plusy,female
6/11/14,15:40,Aaji,person,10mOrBefore,0to3y,female
6/11/14,15:57,Car,animaletc,11m,0to3y,female
6/11/14,16:02,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,16:17,Nana,animaletc,14mOrLater,0to3y,female
6/11/14,16:23,Hi,other,10mOrBefore,0to3y,female
6/11/14,16:26,Uh-Oh,action,10mOrBefore,0to3y,female
6/11/14,16:35,No,other,11m,4to6y,female
6/11/14,16:40,Avocado ,animaletc,10mOrBefore,4to6y,female
6/11/14,16:44,Baba,person,10mOrBefore,0to3y,female
6/11/14,16:49,Duck,animaletc,10mOrBefore,7to12y,female
6/11/14,17:05,Tata,action,10mOrBefore,0to3y,female
6/11/14,17:21,Tiens,action,10mOrBefore,0to3y,female
6/11/14,18:25,Sissy,person,10mOrBefore,4to6y,female
6/11/14,18:33,Mama,,dontremember,7to12y,female
6/11/14,18:36,Bird,animaletc,10mOrBefore,4to6y,female
6/11/14,19:13,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,19:26,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,20:03,Doggie,animaletc,11m,4to6y,female
6/11/14,20:04,Bye,action,10mOrBefore,0to3y,female
6/11/14,20:30,Mama,person,10mOrBefore,7to12y,female
6/11/14,20:31,Daisy,animaletc,10mOrBefore,4to6y,female
6/11/14,20:55,Dada,,10mOrBefore,0to3y,female
6/11/14,20:58,Dog,animaletc,11m,0to3y,female
6/11/14,21:00,Bear,animaletc,11m,4to6y,female
6/11/14,21:05,Duck,animaletc,10mOrBefore,4to6y,female
6/11/14,21:08,Duck,animaletc,10mOrBefore,0to3y,female
6/11/14,21:09,Tree,animaletc,10mOrBefore,4to6y,female
6/11/14,21:36,Baba ,animaletc,10mOrBefore,0to3y,female
6/11/14,21:45,More,animaletc,12m,0to3y,female
6/11/14,21:47,Book,animaletc,11m,4to6y,female
6/11/14,21:51,Up,action,10mOrBefore,4to6y,female
6/11/14,21:52,Bird,,10mOrBefore,0to3y,female
6/11/14,22:15,__‹Û___ç,animaletc,10mOrBefore,0to3y,female
6/11/14,22:16,Mum Mum,animaletc,10mOrBefore,4to6y,female
6/11/14,22:23,Hi,other,13m,0to3y,female
6/11/14,23:00,Go,animaletc,10mOrBefore,4to6y,female
6/12/14,1:15,Noo Noo,animaletc,13m,0to3y,female
6/12/14,4:23,Map,animaletc,12m,0to3y,female
6/12/14,10:00,Dada,person,10mOrBefore,4to6y,female
6/12/14,19:42,Tha Tha,person,10mOrBefore,7to12y,female
6/12/14,7:13,Uh-Oh,animaletc,12m,0to3y,female
6/12/14,7:19,Duck,animaletc,11m,4to6y,female
6/12/14,7:38,Dada,person,10mOrBefore,4to6y,female
6/12/14,8:08,Light,animaletc,10mOrBefore,13plusy,female
6/12/14,8:31,Tata,animaletc,10mOrBefore,4to6y,female
6/12/14,9:14,Sweet Carrot,animaletc,10mOrBefore,0to3y,female
6/12/14,9:36,Hi,action,12m,0to3y,female
6/12/14,10:46,Bebe,person,dontremember,0to3y,female
6/12/14,11:33,Mama,person,dontremember,7to12y,female
6/12/14,12:54,Thank You,other,12m,0to3y,female
6/12/14,13:59,Uh-Oh,action,11m,0to3y,female
6/12/14,14:46,Baby,person,10mOrBefore,0to3y,female
6/12/14,16:07,Banana,animaletc,10mOrBefore,7to12y,female
6/12/14,16:14,Ivy,animaletc,12m,4to6y,female
6/12/14,20:10,Ball,animaletc,13m,13plusy,female
6/12/14,20:55,Ball,animaletc,13m,0to3y,female
6/12/14,21:38,Cat,animaletc,10mOrBefore,7to12y,female
6/12/14,22:12,Ada ,person,11m,0to3y,female
6/13/14,7:02,Hot,animaletc,10mOrBefore,7to12y,female
6/13/14,10:38,Baba,person,10mOrBefore,7to12y,female
6/13/14,10:24,Cookie,animaletc,11m,0to3y,female
6/13/14,13:45,Hot,animaletc,dontremember,4to6y,female
6/13/14,15:46,Baba,person,10mOrBefore,4to6y,female
6/14/14,7:35,Dada,person,10mOrBefore,0to3y,female
6/14/14,20:33,Bye,action,12m,0to3y,female
6/15/14,16:37,Ga Ga,other,10mOrBefore,7to12y,female
6/14/14,23:38,Deng Deng ,animaletc,11m,4to6y,female
6/15/14,8:53,Dirty,animaletc,12m,13plusy,female
6/15/14,12:16,More,action,dontremember,13plusy,female
